Client_Code,Client_Name,Client_Type,Industry Type,Incentive_Enrolled,Relation,Popl_Type,Count,Reachable_Rate_wrt_Eligible,Registration_Rate_wrt_Eligible,Registration_Rate_wrt_Reachable,Gender_Female,Generation,Tenure,Health_Risk,Claims_Cost,Engagement_by_Logins,Engagement_by_Clicks,autoimmune_disorders_and_diseases,behavioral_health,blood_disorder,cancer,cardiovascular_disorders_and_diseases_non_diabetic,chronic_respiratory_diseases,congenital_disorder,diabetes,digestive_disorders,musculoskeletal_disorders_and_diseases,neurological_disorders_and_diseases,nutritional_life_style_disorders,other_disorders_and_diseases,renal_disorder
1049,Gap,Direct,Retail/Wholesale Trade,FALSE,Employee,Registered Popl,22239,On Par,On Par,On Par,More FEMALE,More GenZ & Less Boomers & Less Swing,More Low_Tenure & Less High_Tenure,NA,NA,Less Low_Logins & More Frequent_Logins,On Par,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1056,PlayStation,Direct,Technology,FALSE,Employee,Eligible Popl,4514,More Reachable_Rate_wrt_Eligible,More Registration_Rate_wrt_Eligible,More Registration_Rate_wrt_Reachable,Less FEMALE,Less GenZ & More Millennials & More GenX & Less Boomers & Less Swing,On Par,Less At_Risk,More Low_Claims_Cost & Less Medium_Claims_Cost,Less Low_Logins & More Frequent_Logins,Less Low_Clicks & More Medium_Clicks & More Frequent_Clicks,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par
1056,PlayStation,Direct,Technology,FALSE,All Relation,Eligible Popl,7247,Less Reachable_Rate_wrt_Eligible,More Registration_Rate_wrt_Eligible,More Registration_Rate_wrt_Reachable,On Par,Less GenZ & More GenX & Less Boomers,On Par,Less At_Risk,More Low_Claims_Cost & Less Medium_Claims_Cost,Less Low_Logins & More Frequent_Logins,Less Low_Clicks & More Medium_Clicks & More Frequent_Clicks,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,NA,On Par,On Par,On Par
1056,PlayStation,Direct,Technology,FALSE,All Relation,Registered Popl,3436,Less Reachable_Rate_wrt_Eligible,More Registration_Rate_wrt_Eligible,More Registration_Rate_wrt_Reachable,Less FEMALE,Less GenZ & More Millennials & More GenX & Less Boomers & Less Swing,More Medium_Tenure & Less High_Tenure,Less At_Risk,More Low_Claims_Cost & Less Medium_Claims_Cost,Less Low_Logins & More Frequent_Logins,Less Low_Clicks & More Medium_Clicks & More Frequent_Clicks,On Par,On Par,On Par,On Par,Less cardiovascular disorders and diseases non diabetic,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par
1056,PlayStation,Direct,Technology,FALSE,Employee,Registered Popl,3304,More Reachable_Rate_wrt_Eligible,More Registration_Rate_wrt_Eligible,More Registration_Rate_wrt_Reachable,Less FEMALE,Less GenZ & More Millennials & More GenX & Less Boomers & Less Swing,More Medium_Tenure & Less High_Tenure,Less At_Risk,More Low_Claims_Cost & Less Medium_Claims_Cost,Less Low_Logins & More Frequent_Logins,Less Low_Clicks & More Medium_Clicks & More Frequent_Clicks,On Par,On Par,On Par,On Par,Less cardiovascular disorders and diseases non diabetic,On Par,On Par,On Par,On Par,On Par,On Par,Less nutritional life style disorders,On Par,On Par
1057,Sanofi,Direct,Health Care and Social Assistance,TRUE,Employee,Eligible Popl,12094,More Reachable_Rate_wrt_Eligible,More Registration_Rate_wrt_Eligible,More Registration_Rate_wrt_Reachable,On Par,Less GenZ & More GenX & More Boomers,On Par,On Par,Less Low_Claims_Cost & More Medium_Claims_Cost,Less Low_Logins & More Frequent_Logins,Less Low_Clicks & More Medium_Clicks & More Frequent_Clicks,On Par,More behavioral health,On Par,On Par,More cardiovascular disorders and diseases non diabetic,On Par,On Par,On Par,On Par,More musculoskeletal disorders and diseases,On Par,On Par,On Par,On Par
1057,Sanofi,Direct,Health Care and Social Assistance,TRUE,All Relation,Eligible Popl,18616,On Par,More Registration_Rate_wrt_Eligible,More Registration_Rate_wrt_Reachable,On Par,Less GenZ & More GenX & More Boomers,On Par,On Par,Less Low_Claims_Cost & More Medium_Claims_Cost,Less Low_Logins & More Frequent_Logins,Less Low_Clicks & More Medium_Clicks & More Frequent_Clicks,On Par,More behavioral health,On Par,On Par,More cardiovascular disorders and diseases non diabetic,On Par,On Par,On Par,On Par,More musculoskeletal disorders and diseases,On Par,On Par,On Par,On Par
1057,Sanofi,Direct,Health Care and Social Assistance,TRUE,All Relation,Registered Popl,14425,On Par,More Registration_Rate_wrt_Eligible,More Registration_Rate_wrt_Reachable,On Par,Less GenZ & More GenX,On Par,On Par,Less Low_Claims_Cost & More Medium_Claims_Cost,Less Low_Logins & More Frequent_Logins,Less Low_Clicks & More Medium_Clicks & More Frequent_Clicks,On Par,More behavioral health,On Par,On Par,More cardiovascular disorders and diseases non diabetic,On Par,On Par,On Par,On Par,More musculoskeletal disorders and diseases,On Par,On Par,On Par,On Par
1057,Sanofi,Direct,Health Care and Social Assistance,TRUE,Employee,Registered Popl,10232,More Reachable_Rate_wrt_Eligible,More Registration_Rate_wrt_Eligible,More Registration_Rate_wrt_Reachable,On Par,Less GenZ & More GenX & Less Swing,On Par,On Par,Less Low_Claims_Cost & More Medium_Claims_Cost,Less Low_Logins & More Frequent_Logins,Less Low_Clicks & More Medium_Clicks & More Frequent_Clicks,On Par,More behavioral health,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par
1061,VF,Direct,Retail/Wholesale Trade,TRUE,Employee,Eligible Popl,7909,Less Reachable_Rate_wrt_Eligible,On Par,On Par,More FEMALE,More Millennials,Less Low_Tenure,Less At_Risk,On Par,Less Low_Logins,Less Low_Clicks & More Medium_Clicks & More Frequent_Clicks,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par
1061,VF,Direct,Retail/Wholesale Trade,TRUE,All Relation,Eligible Popl,12088,Less Reachable_Rate_wrt_Eligible,Less Registration_Rate_wrt_Eligible,On Par,On Par,On Par,Less Low_Tenure,Less At_Risk,On Par,Less Low_Logins,Less Low_Clicks & More Medium_Clicks & More Frequent_Clicks,On Par,On Par,On Par,On Par,Less cardiovascular disorders and diseases non diabetic,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par
1061,VF,Direct,Retail/Wholesale Trade,TRUE,All Relation,Registered Popl,2430,Less Reachable_Rate_wrt_Eligible,Less Registration_Rate_wrt_Eligible,On Par,More FEMALE,More Millennials & Less Boomers & Less Swing,More Medium_Tenure & Less High_Tenure,On Par,On Par,Less Low_Logins,Less Low_Clicks & More Medium_Clicks & More Frequent_Clicks,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par
1061,VF,Direct,Retail/Wholesale Trade,TRUE,Employee,Registered Popl,2139,Less Reachable_Rate_wrt_Eligible,On Par,On Par,More FEMALE,More Millennials & Less Boomers & Less Swing,More Medium_Tenure & Less High_Tenure,On Par,On Par,Less Low_Logins,Less Low_Clicks & More Medium_Clicks & More Frequent_Clicks,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par
1062,David's Bridal,Direct,Other Services,FALSE,Employee,Eligible Popl,1096,More Reachable_Rate_wrt_Eligible,On Par,On Par,More FEMALE,Less GenZ & More Boomers,More High_Tenure,More At_Risk,Less Low_Claims_Cost,More Low_Logins & Less Medium_Logins & Less Frequent_Logins,More Low_Clicks & Less Medium_Clicks & Less Frequent_Clicks,Less autoimmune disorders and diseases,Less behavioral health,On Par,On Par,Less cardiovascular disorders and diseases non diabetic,On Par,On Par,Less diabetes,On Par,Less musculoskeletal disorders and diseases,Less neurological disorders and diseases,Less nutritional life style disorders,On Par,On Par
1062,David's Bridal,Direct,Other Services,FALSE,All Relation,Eligible Popl,1552,More Reachable_Rate_wrt_Eligible,On Par,Less Registration_Rate_wrt_Reachable,More FEMALE,On Par,More High_Tenure,On Par,On Par,More Low_Logins & Less Medium_Logins & Less Frequent_Logins,More Low_Clicks & Less Medium_Clicks & Less Frequent_Clicks,Less autoimmune disorders and diseases,Less behavioral health,On Par,On Par,Less cardiovascular disorders and diseases non diabetic,Less chronic respiratory diseases,On Par,Less diabetes,On Par,Less musculoskeletal disorders and diseases,Less neurological disorders and diseases,Less nutritional life style disorders,On Par,On Par
1062,David's Bridal,Direct,Other Services,FALSE,All Relation,Registered Popl,387,More Reachable_Rate_wrt_Eligible,On Par,Less Registration_Rate_wrt_Reachable,More FEMALE,Less GenZ,Less Low_Tenure & Less Medium_Tenure & More High_Tenure,On Par,Less Low_Claims_Cost & More Medium_Claims_Cost,More Low_Logins & Less Medium_Logins & Less Frequent_Logins,More Low_Clicks & Less Medium_Clicks & Less Frequent_Clicks,Less autoimmune disorders and diseases,Less behavioral health,On Par,On Par,Less cardiovascular disorders and diseases non diabetic,Less chronic respiratory diseases,On Par,Less diabetes,On Par,Less musculoskeletal disorders and diseases,Less neurological disorders and diseases,Less nutritional life style disorders,Less other disorders and diseases,On Par
1062,David's Bridal,Direct,Other Services,FALSE,Employee,Registered Popl,346,More Reachable_Rate_wrt_Eligible,On Par,On Par,More FEMALE,Less GenZ,Less Low_Tenure & Less Medium_Tenure & More High_Tenure,On Par,Less Low_Claims_Cost & More Medium_Claims_Cost,More Low_Logins & Less Medium_Logins & Less Frequent_Logins,More Low_Clicks & Less Medium_Clicks & Less Frequent_Clicks,Less autoimmune disorders and diseases,Less behavioral health,On Par,On Par,Less cardiovascular disorders and diseases non diabetic,Less chronic respiratory diseases,On Par,Less diabetes,On Par,Less musculoskeletal disorders and diseases,Less neurological disorders and diseases,Less nutritional life style disorders,Less other disorders and diseases,On Par
1065,Southwire,Direct,Manufacturing and Trading,FALSE,Employee,Eligible Popl,7980,On Par,On Par,On Par,Less FEMALE,On Par,Less Medium_Tenure & More High_Tenure,On Par,On Par,Less Low_Logins & More Frequent_Logins,Less Low_Clicks & More Medium_Clicks & More Frequent_Clicks,Less autoimmune disorders and diseases,Less behavioral health,On Par,On Par,Less cardiovascular disorders and diseases non diabetic,On Par,On Par,Less diabetes,On Par,Less musculoskeletal disorders and diseases,Less neurological disorders and diseases,Less nutritional life style disorders,On Par,On Par
1065,Southwire,Direct,Manufacturing and Trading,FALSE,All Relation,Eligible Popl,13717,Less Reachable_Rate_wrt_Eligible,On Par,On Par,On Par,On Par,Less Medium_Tenure & More High_Tenure,On Par,On Par,Less Low_Logins & More Frequent_Logins,Less Low_Clicks & More Medium_Clicks & More Frequent_Clicks,Less autoimmune disorders and diseases,Less behavioral health,On Par,On Par,Less cardiovascular disorders and diseases non diabetic,Less chronic respiratory diseases,On Par,Less diabetes,On Par,Less musculoskeletal disorders and diseases,Less neurological disorders and diseases,Less nutritional life style disorders,On Par,On Par
1065,Southwire,Direct,Manufacturing and Trading,FALSE,All Relation,Registered Popl,3342,Less Reachable_Rate_wrt_Eligible,On Par,On Par,Less FEMALE,On Par,More Low_Tenure,On Par,On Par,Less Low_Logins & More Frequent_Logins,Less Low_Clicks & More Medium_Clicks & More Frequent_Clicks,Less autoimmune disorders and diseases,Less behavioral health,On Par,On Par,Less cardiovascular disorders and diseases non diabetic,Less chronic respiratory diseases,On Par,Less diabetes,On Par,Less musculoskeletal disorders and diseases,Less neurological disorders and diseases,Less nutritional life style disorders,Less other disorders and diseases,On Par
1065,Southwire,Direct,Manufacturing and Trading,FALSE,Employee,Registered Popl,3282,On Par,On Par,On Par,Less FEMALE,On Par,More Low_Tenure,On Par,On Par,Less Low_Logins & More Frequent_Logins,Less Low_Clicks & More Medium_Clicks & More Frequent_Clicks,Less autoimmune disorders and diseases,Less behavioral health,On Par,On Par,Less cardiovascular disorders and diseases non diabetic,Less chronic respiratory diseases,On Par,Less diabetes,On Par,Less musculoskeletal disorders and diseases,Less neurological disorders and diseases,Less nutritional life style disorders,Less other disorders and diseases,On Par
1066,Google,Direct,Technology,FALSE,Employee,Eligible Popl,111276,More Reachable_Rate_wrt_Eligible,Less Registration_Rate_wrt_Eligible,Less Registration_Rate_wrt_Reachable,NA,Less GenZ & More Millennials & Less Boomers & Less Swing,More Medium_Tenure & Less High_Tenure,NA,NA,Less Low_Logins & More Medium_Logins & More Frequent_Logins,Less Low_Clicks & More Medium_Clicks & More Frequent_Clicks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1066,Google,Direct,Technology,FALSE,All Relation,Eligible Popl,111278,More Reachable_Rate_wrt_Eligible,Less Registration_Rate_wrt_Eligible,Less Registration_Rate_wrt_Reachable,NA,Less GenZ & More Millennials & Less Boomers & Less Swing,More Medium_Tenure & Less High_Tenure,NA,NA,Less Low_Logins & More Medium_Logins & More Frequent_Logins,Less Low_Clicks & More Medium_Clicks & More Frequent_Clicks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1066,Google,Direct,Technology,FALSE,All Relation,Registered Popl,6151,More Reachable_Rate_wrt_Eligible,Less Registration_Rate_wrt_Eligible,Less Registration_Rate_wrt_Reachable,NA,More Millennials & Less Boomers & Less Swing,More Low_Tenure & Less Medium_Tenure & Less High_Tenure,NA,NA,Less Low_Logins & More Medium_Logins & More Frequent_Logins,Less Low_Clicks & More Medium_Clicks & More Frequent_Clicks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1066,Google,Direct,Technology,FALSE,Employee,Registered Popl,6150,More Reachable_Rate_wrt_Eligible,Less Registration_Rate_wrt_Eligible,Less Registration_Rate_wrt_Reachable,NA,More Millennials & Less Boomers & Less Swing,More Low_Tenure & Less Medium_Tenure & Less High_Tenure,NA,NA,Less Low_Logins & More Medium_Logins & More Frequent_Logins,Less Low_Clicks & More Medium_Clicks & More Frequent_Clicks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1067,Carter's,Direct,Real Estate & Construction,FALSE,Employee,Eligible Popl,9166,On Par,Less Registration_Rate_wrt_Eligible,Less Registration_Rate_wrt_Reachable,More FEMALE,More GenZ & Less Boomers,More Low_Tenure & Less High_Tenure,NA,NA,On Par,On Par,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1067,Carter's,Direct,Real Estate & Construction,FALSE,All Relation,Eligible Popl,10389,On Par,Less Registration_Rate_wrt_Eligible,Less Registration_Rate_wrt_Reachable,More FEMALE,More GenZ & Less Boomers,More Low_Tenure & Less High_Tenure,NA,NA,On Par,On Par,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1067,Carter's,Direct,Real Estate & Construction,FALSE,All Relation,Registered Popl,522,On Par,Less Registration_Rate_wrt_Eligible,Less Registration_Rate_wrt_Reachable,More FEMALE,More Millennials & Less Boomers & Less Swing,More Low_Tenure & More Medium_Tenure & Less High_Tenure,NA,NA,On Par,On Par,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1067,Carter's,Direct,Real Estate & Construction,FALSE,Employee,Registered Popl,504,On Par,Less Registration_Rate_wrt_Eligible,Less Registration_Rate_wrt_Reachable,More FEMALE,More Millennials & Less Boomers & Less Swing,More Low_Tenure & More Medium_Tenure & Less High_Tenure,NA,NA,On Par,On Par,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,McDonald's Licensees,HCSC Health Hub,Health Care and Social Assistance,FALSE,Employee,Eligible Popl,20596,On Par,Less Registration_Rate_wrt_Eligible,Less Registration_Rate_wrt_Reachable,More FEMALE,Less GenZ,NA,On Par,Less Low_Claims_Cost & More Medium_Claims_Cost,On Par,Less Low_Clicks,On Par,More behavioral health,On Par,On Par,More cardiovascular disorders and diseases non diabetic,On Par,On Par,On Par,On Par,On Par,On Par,More nutritional life style disorders,On Par,On Par
2002,McDonald's Licensees,HCSC Health Hub,Health Care and Social Assistance,FALSE,All Relation,Eligible Popl,26613,More Reachable_Rate_wrt_Eligible,Less Registration_Rate_wrt_Eligible,Less Registration_Rate_wrt_Reachable,More FEMALE,On Par,NA,On Par,Less Low_Claims_Cost & More Medium_Claims_Cost,On Par,Less Low_Clicks,On Par,More behavioral health,On Par,On Par,More cardiovascular disorders and diseases non diabetic,On Par,On Par,On Par,On Par,On Par,On Par,More nutritional life style disorders,On Par,On Par
2002,McDonald's Licensees,HCSC Health Hub,Health Care and Social Assistance,FALSE,All Relation,Registered Popl,298,More Reachable_Rate_wrt_Eligible,Less Registration_Rate_wrt_Eligible,Less Registration_Rate_wrt_Reachable,More FEMALE,On Par,NA,On Par,Less Low_Claims_Cost & More Medium_Claims_Cost,On Par,Less Low_Clicks,On Par,More behavioral health,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,More neurological disorders and diseases,More nutritional life style disorders,On Par,On Par
2002,McDonald's Licensees,HCSC Health Hub,Health Care and Social Assistance,FALSE,Employee,Registered Popl,258,On Par,Less Registration_Rate_wrt_Eligible,Less Registration_Rate_wrt_Reachable,More FEMALE,On Par,NA,On Par,Less Low_Claims_Cost & More Medium_Claims_Cost,On Par,Less Low_Clicks,On Par,More behavioral health,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,More neurological disorders and diseases,More nutritional life style disorders,On Par,On Par
